;lat;lon;ciudad;zona;localidad;barrio;habitaciones;baños;area;area_privada;precio;moneda;tipo_propiedad;tipo_operacion
1080;4.6930000000000005;-74.044;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;3.0;3.0;124.0;124.0;840000000.0;COP;Apartamento;Venta
1081;4.695;-74.039;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;4.0;153.0;153.0;680000000.0;COP;Apartamento;Venta
1082;4.677;-74.043;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;5.0;187.0;187.0;1500000000.0;COP;Apartamento;Venta
1083;4.691;-74.061;Bogotá D.C;Zona Noroccidental;Suba;Pasadena ;2.0;3.0;84.0;84.0;560000000.0;COP;Apartamento;Venta
1084;4.7;-74.079;Bogotá D.C;Zona Noroccidental;Suba;Pontevedra ;1.0;1.0;45.0;45.0;225000000.0;COP;Apartamento;Venta
1085;4.64;-74.059;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Alto;1.0;1.0;53.0;53.0;359000000.0;COP;Apartamento;Venta
1086;4.724;-74.03699999999999;Bogotá D.C;Zona Norte;Usaquén;Cedritos;2.0;2.0;58.0;58.0;285000000.0;COP;Apartamento;Venta
1087;4.72;-74.038;Bogotá D.C;Zona Norte;Usaquén;Cedritos;1.0;2.0;55.0;55.0;285000000.0;COP;Apartamento;Venta
1088;4.678999999999999;-74.045;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;2.0;2.0;90.0;90.0;480000000.0;COP;Apartamento;Venta
1089;4.658;-74.06;Bogotá D.C;Zona Chapinero;Chapinero;Quinta Camacho;5.0;6.0;585.0;585.0;2150000000.0;COP;Apartamento;Venta
1090;4.713;-74.078;Bogotá D.C;Zona Noroccidental;Suba;Niza;4.0;3.0;900.0;500.0;2000000000.0;COP;Casa;Venta
1091;4.703;-74.08;Bogotá D.C;Zona Noroccidental;Suba;Pontevedra ;4.0;3.0;286.0;268.0;870000000.0;COP;Casa;Venta
1092;4.731;-74.08;Bogotá D.C;Zona Noroccidental;Suba;Cerros De Suba;3.0;3.0;2064.0;352.0;2380000000.0;COP;Casa;Venta
1093;4.6160000000000005;-74.071;Bogotá D.C;Zona Centro;Santa Fe;Centro Internacional;1.0;2.0;61.0;61.0;498000000.0;COP;Apartamento;Venta
1094;4.644;-74.065;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Central;1.0;2.0;41.0;41.0;289000000.0;COP;Apartamento;Venta
1095;4.696000000000001;-74.048;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;2.0;144.0;144.0;950000000.0;COP;Apartamento;Venta
1096;4.7330000000000005;-74.053;Bogotá D.C;Zona Noroccidental;Suba;Gratamira;3.0;3.0;167.0;167.0;1050000000.0;COP;Apartamento;Venta
1097;4.686;-74.036;Bogotá D.C;Zona Norte;Usaquén;Santa Ana;3.0;2.0;94.0;94.0;460000000.0;COP;Apartamento;Venta
1098;4.711;-74.02600000000001;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;3.0;5.0;280.0;280.0;1650000000.0;COP;Apartamento;Venta
1099;4.676;-74.057;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;2.0;1.0;46.0;46.0;320000000.0;COP;Apartamento;Venta
1100;4.684;-74.054;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;2.0;3.0;112.0;112.0;715000000.0;COP;Apartamento;Venta
1101;4.685;-74.045;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;3.0;4.0;133.0;133.0;765000000.0;COP;Apartamento;Venta
1102;4.656000000000001;-74.04899999999999;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;3.0;5.0;212.0;212.0;1570000000.0;COP;Apartamento;Venta
1103;4.727;-74.035;Bogotá D.C;Zona Norte;Usaquén;Cedritos;1.0;1.0;49.0;49.0;315000000.0;COP;Apartamento;Venta
1104;4.7589999999999995;-74.043;Bogotá D.C;Zona Norte;Usaquén;San Antonio Norte;3.0;3.0;71.0;71.0;240000000.0;COP;Apartamento;Venta
1105;4.691;-74.045;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;3.0;3.0;135.0;135.0;675000000.0;COP;Apartamento;Venta
1106;4.7;-74.028;Bogotá D.C;Zona Norte;Usaquén;Santa Ana;3.0;4.0;177.0;177.0;1300000000.0;COP;Apartamento;Venta
1107;4.732;-74.074;Bogotá D.C;Zona Noroccidental;Suba;Colina Campestre;4.0;2.0;114.0;114.0;515000000.0;COP;Apartamento;Venta
1108;4.657;-74.05199999999999;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;2.0;2.0;110.0;110.0;670000000.0;COP;Apartamento;Venta
1109;4.689;-74.043;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;3.0;106.0;106.0;800000000.0;COP;Apartamento;Venta
